title,url,published_date,published_raw,page_num,list_page_url,source_category,excerpt,image_url,published_dt
Khofifah Pastikan Pasokan Biosolar dan Pertalite di Jatim Aman,https://malangvoice.com/khofifah-pastikan-pasokan-biosolar-dan-pertalite-di-jatim-aman/,2026-06-28,28 June 2026 7:57 PM,1,https://malangvoice.com/kanal/malang-raya/kabupaten-malang/,Ekbis,"MALANGVOICE – Gubernur Jawa Timur, Khofifah Indar Parawansa, memastikan ketersediaan bahan bakar minyak (BBM) di Jawa Timur dalam kondisi aman dan mencukupi kebutuhan masyarakat....",,2026-06-28
"Andalkan BBIB Singosari, Khofifah Optimistis Indonesia Swasembada Daging dalam Tiga Tahun",https://malangvoice.com/andalkan-bbib-singosari-khofifah-optimistis-indonesia-swasembada-daging-dalam-tiga-tahun/,2026-06-28,28 June 2026 7:02 PM,1,https://malangvoice.com/kanal/malang-raya/kabupaten-malang/,Kabupaten Malang,"MALANGVOICE – Gubernur Jawa Timur, Khofifah Indar Parawansa, optimistis Indonesia mampu mewujudkan swasembada daging dalam kurun waktu tiga tahun ke depan. Optimisme tersebut disampaikannya...",,2026-06-28
Yakuza Meneges Dampingi Santri Korban Dugaan Pelecehan Seksual di Kabupaten Malang,https://malangvoice.com/yakuza-meneges-dampingi-santri-korban-dugaan-pelecehan-seksual-di-kabupaten-malang/,2026-06-14,14 June 2026 1:10 PM,1,https://malangvoice.com/kanal/malang-raya/kabupaten-malang/,Kabupaten Malang,MALANGVOICE - Yakuza Maneges mengendus adanya dugaan praktik pelecehan seksual di lingkungan pondok pesantren di Kabupaten Malang. Kasusnya kini sudah dilaporkan ke Polres Malang....,,2026-06-14
"UMM Bangun Pabrik Infus di Karangploso, Perkuat Kemandirian Kesehatan Nasional",https://malangvoice.com/umm-bangun-pabrik-infus-di-karangploso-perkuat-kemandirian-kesehatan-nasional/,2026-06-11,11 June 2026 7:11 PM,1,https://malangvoice.com/kanal/malang-raya/kabupaten-malang/,Kabupaten Malang,MALANGVOICE – Universitas Muhammadiyah Malang (UMM) kembali menunjukkan peran strategisnya dalam mendukung kemandirian kesehatan nasional. Kampus Putih resmi memulai pembangunan pabrik infus PT...,,2026-06-11
"Arema FC Buka Suara, Tegaskan Keberatan Soal Pendaftaran Logo Singa",https://malangvoice.com/arema-fc-buka-suara-tegaskan-keberatan-soal-pendaftaran-logo-singa/,2026-06-07,7 June 2026 11:35 AM,2,https://malangvoice.com/kanal/malang-raya/kabupaten-malang/page/2/,Arema,MALANGVOICE - Manajemen Arema FC melayangkan keberatan atas pendaftaran logo bergambar singa yang menjadi perbincangan hangat kalangan Aremania. Arema FC akhirnya buka suara...,,2026-06-07
PT Bentoel Group Gandeng Baskomas Jaga Kualitas Air dan Keberlanjutan Lingkungan,https://malangvoice.com/pt-bentoel-group-gandeng-baskomas-jaga-kualitas-air-dan-keberlanjutan-lingkungan/,2026-06-03,3 June 2026 8:11 PM,2,https://malangvoice.com/kanal/malang-raya/kabupaten-malang/page/2/,Kabupaten Malang,"MALANGVOICE– Aksi Lestari untuk Revitalisasi Sungai (ALIR) digelar di Sungai Kalibodo, Desa Banjararum, Kecamatan Singosari, Kabupaten Malang. Aksi nyata menjaga kelestarian lingkungan ini digelar...",,2026-06-03
Pemuda Lintas Iman di Lawang Teguhkan Semangat Pancasila Lewat Jagongan Kebangsaan,https://malangvoice.com/pemuda-lintas-iman-di-lawang-teguhkan-semangat-pancasila-lewat-jagongan-kebangsaan/,2026-06-01,1 June 2026 9:43 PM,2,https://malangvoice.com/kanal/malang-raya/kabupaten-malang/page/2/,Ekbis,"MALANGVOICE– Memperingati Hari Lahir Pancasila, para pemuda dan mahasiswa di Kecamatan Lawang menggelar kegiatan ""Jagongan"" bersama berbagai komunitas dan tokoh lintas iman di Lawang,...",,2026-06-01
"BRI Malang Catat Transaksi QRIS Rp2,05 Triliun, Pengguna BRImo Tembus 3,3 Juta",https://malangvoice.com/bri-malang-catat-transaksi-qris-rp205-triliun-pengguna-brimo-tembus-33-juta/,2026-05-31,31 May 2026 9:05 PM,2,https://malangvoice.com/kanal/malang-raya/kabupaten-malang/page/2/,Ekbis,MALANGVOICE – PT Bank Rakyat Indonesia (Persero) Tbk atau BRI terus memperkuat transformasi digital dan memperluas inklusi keuangan melalui pengembangan layanan perbankan digital....,,2026-05-31
UMKM Desa Genengan Dapat Suntikan Bantuan CSR dari BRI Region 13 Malang,https://malangvoice.com/umkm-desa-genengan-dapat-suntikan-bantuan-csr-dari-bri-region-13-malang/,2026-05-29,29 May 2026 2:42 PM,3,https://malangvoice.com/kanal/malang-raya/kabupaten-malang/page/3/,Ekbis,"MALANGVOICE - BRI Region 13 Malang kembali menunjukkan komitmennya dalam mendukung pemberdayaan ekonomi masyarakat melalui program Corporate Social Responsibility (CSR). Kali ini, bantuan diberikan...",,2026-05-29
MPM Honda Jatim Ajak Mahasiswa Jadi Agen Perubahan Lewat Astra Honda SDGs Future Leaders 2026,https://malangvoice.com/mpm-honda-jatim-ajak-mahasiswa-jadi-agen-perubahan-lewat-astra-honda-sdgs-future-leaders-2026/,2026-05-29,29 May 2026 11:15 AM,3,https://malangvoice.com/kanal/malang-raya/kabupaten-malang/page/3/,Ekbis,MALANGVOICE – Astra Honda Motor kembali membuka program Astra Honda SDGs Future Leaders 2026 sebagai wadah pengembangan generasi muda untuk menciptakan solusi berkelanjutan...,,2026-05-29
