page_num,list_page_url,title,url,published_date,published_dt
1,https://seputarmalang.com/lokasi/kabupaten-malang/,Gebyar Penutupan KKN-T 2026 Unira Malang Gelar Expo Loka Wisata,https://seputarmalang.com/pendidikan/seputar-kampus/berita-kampus/gebyar-penutupan-kkn-t-2026-unira-malang-gelar-expo-loka-wisata/2659/,14 Februari 2026,2026-02-14
1,https://seputarmalang.com/lokasi/kabupaten-malang/,"Peringati Isra Mikraj di Desa Selorejo, KKNT 14 UNIRA Malang Hadirkan Alumni AKSI Indosiar",https://seputarmalang.com/pendidikan/seputar-kampus/berita-kampus/peringati-isra-mikraj-di-desa-selorejo-kknt-14-unira-malang-hadirkan-alumni-aksi-indosiar/2584/,26 Januari 2026,2026-01-26
1,https://seputarmalang.com/lokasi/kabupaten-malang/,Mahasiswa KKN Desa Wisata 2026 Unira Malang Antusias Mengikuti Pelatihan Jurnalistik dan Videografi,https://seputarmalang.com/pendidikan/seputar-kampus/berita-kampus/mahasiswa-kkn-desa-wisata-2026-unira-malang-antusias-mengikuti-pelatihan-jurnalistik-dan-videografi/2535/,23 Desember 2025,2025-12-23
1,https://seputarmalang.com/lokasi/kabupaten-malang/,"Gus Syafiq, Kasatkornas Banser Tekankan Kader untuk Aktif Jaga Kedaulatan Pangan Nasional",https://seputarmalang.com/lokasi/kabupaten-malang/gus-syafiq-kasatkornas-banser-tekankan-kader-untuk-aktif-jaga-kedaulatan-pangan-nasional/2512/,17 Desember 2025,2025-12-17
1,https://seputarmalang.com/lokasi/kabupaten-malang/,KKN STAI An-Najah Indonesia Mandiri Gelar Lomba Puisi dan Pidato di Sidodadi,https://seputarmalang.com/pendidikan/seputar-kampus/agenda-kampus/kkn-stai-an-najah-indonesia-mandiri-gelar-lomba-puisi-dan-pidato-di-sidodadi/2452/,11 September 2025,2025-09-11
1,https://seputarmalang.com/lokasi/kabupaten-malang/,"Unira Malang Menjadi Ruang Apresiasi Kelompok Tani Kopi, Hadirkan Coffee Traveler dari Jerman",https://seputarmalang.com/pendidikan/seputar-kampus/berita-kampus/unira-malang-menjadi-ruang-apresiasi-kelompok-tani-kopi-hadirkan-coffee-traveler-dari-jerman/2428/,27 Agustus 2025,2025-08-27
1,https://seputarmalang.com/lokasi/kabupaten-malang/,GP Ansor Jawa Timur Gandeng Unira Malang Bagikan 150 Ton Benih Padi untuk Ketahanan Pangan,https://seputarmalang.com/lokasi/kabupaten-malang/gp-ansor-jawa-timur-gandeng-unira-malang-bagikan-150-ton-benih-padi-untuk-ketahanan-pangan/2419/,21 Agustus 2025,2025-08-21
1,https://seputarmalang.com/lokasi/kabupaten-malang/,"Peringatan HUT RI ke-80 di Gedangan, 70 Siswa SMK Ar-Roudloh Tampil sebagai Paskibra",https://seputarmalang.com/pendidikan/seputar-halokes/peringatan-hut-ri-ke-80-di-gedangan-70-siswa-smk-ar-roudloh-tampil-sebagai-paskibra/2416/,17 Agustus 2025,2025-08-17
1,https://seputarmalang.com/lokasi/kabupaten-malang/,"Memberdayakan Purna PMI, Gus Imin Tebar Bantuan Usaha di Singosari",https://seputarmalang.com/organisasi-komunitas/kawan-pmi/memberdayakan-purna-pmi/2411/,9 Agustus 2025,2025-08-09
1,https://seputarmalang.com/lokasi/kabupaten-malang/,Bupati Malang Arahkan MoU Budaya antara MAS dengan KEK Singhasari: Dorong Singosari Jadi Kawasan Pariwisata Budaya Nasional,https://seputarmalang.com/seni-budaya/bupati-malang-arahkan-mou-budaya-antara-mas-dengan-kek-singhasari-dorong-singosari-jadi-kawasan-pariwisata-budaya-nasional/2379/,11 Juni 2025,2025-06-11
1,https://seputarmalang.com/lokasi/kabupaten-malang/,"Berdiskusi dengan Ketua PWI Jatim, Kepala Bakorwil Malang Ajak Perkuat Narasi Pengembangan Potensi Selatan Jatim Menuju Malang Megapolitan",https://seputarmalang.com/pelayanan-publik/berdiskusi-dengan-ketua-pwi-jatim-kepala-bakorwil-malang-ajak-perkuat-narasi-pengembangan-potensi-selatan-jatim-menuju-malang-megapolitan/2900/,26 Juni 2026,2026-06-26
1,https://seputarmalang.com/lokasi/kabupaten-malang/,Hijrah sebagai Perjalanan Spiritualitas dan Perubahan Sosial,https://seputarmalang.com/opini/hijrah-sebagai-perjalanan-spiritualitas-dan-perubahan-sosial/2897/,16 Juni 2026,2026-06-16
1,https://seputarmalang.com/lokasi/kabupaten-malang/,Kepala Bakorwil Malang Dampingi Gubernur Jatim Sidak Pasar Klojen,https://seputarmalang.com/lokasi/jawa-timur/kepala-bakorwil-malang-dampingi-gubernur-jatim-sidak-pasar-klojen/2889/,29 Mei 2026,2026-05-29
1,https://seputarmalang.com/lokasi/kabupaten-malang/,"Spiritualitas Jawa, Idul Kurban, dan Tradisi Sufistik",https://seputarmalang.com/opini/idul-kurban-dan-tradisi-sufistik/2884/,26 Mei 2026,2026-05-26
1,https://seputarmalang.com/lokasi/kabupaten-malang/,Bakorwil Malang Perkuat Sinergi Pembangunan Kewilayahan Berkelanjutan melalui Green Forestry dan Green Economy,https://seputarmalang.com/lokasi/jawa-timur/bakorwil-malang-perkuat-sinergi-pembangunan-kewilayahan-berkelanjutan-melalui-green-forestry-dan-green-economy/2881/,25 Mei 2026,2026-05-25
