title,url,published_date,page_num,list_page_url,excerpt,image_url,published_dt
"Kronologi Kecelakaan Maut di Karangkates Kabupaten Malang, Tewaskan Pengendara Motor",https://surabaya.tribunnews.com/jawa-timur/1942701/kronologi-kecelakaan-maut-di-karangkates-kabupaten-malang-tewaskan-pengendara-motor,5 hari lalu,1,https://surabaya.tribunnews.com/tag/kabupaten-malang,Seorang pengendara sepeda motor tewas di lokasi setelah tertimpa bagian gandengan truk yang terguling.,https://asset.tribunnews.com/rMROyMf2q_F0wulyUgzXQj4Z-S4=/148x99/filters:quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/surabaya/foto/bank/originals/pengendara-sepeda-motor-meninggal-dunia-usai-tertimpa-truk-tersebut.jpg,2026-06-24 12:22:07.342021
Akses Wisata Pantai Malang Selatan Semakin Mulus Jelang Libur Sekolah,https://surabaya.tribunnews.com/travel/1942598/akses-wisata-pantai-malang-selatan-semakin-mulus-jelang-libur-sekolah,6 hari lalu,1,https://surabaya.tribunnews.com/tag/kabupaten-malang,jalur utama melalui Kecamatan Bantur yang menjadi salah satu akses favorit menuju deretan pantai selatan kini semakin nyaman dilalui,https://asset.tribunnews.com/6QLh3FKJw8cSOp7aoxj1AQrugSI=/148x99/filters:quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/surabaya/foto/bank/originals/Kecamatan-Gondanglegi-dan-Kecamatan-Bantur-dalam-kondisi-mulus.jpg,2026-06-23 12:22:07.342043
Transformasi Pergulaan Nasional Lewat Peremajaan Tebu Serentak di Jawa Timur,https://surabaya.tribunnews.com/jawa-timur/1942351/transformasi-pergulaan-nasional-lewat-peremajaan-tebu-serentak-di-jawa-timur,"Jumat, 19 Juni 2026",1,https://surabaya.tribunnews.com/tag/kabupaten-malang,Khofifah menekankan perlunya kolaborasi lintas pihak agar target tercapai dan kesejahteraan petani meningkat.,https://asset.tribunnews.com/rbVatVz0GT-2lNTpD1HaY7IaT4U=/148x99/filters:quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/surabaya/foto/bank/originals/seluas-54897-hektare-di-24-kabupaten-termasuk-Kabupaten-Malang.jpg,2026-06-19 00:00:00.000000
"6 Anggota Keluarga di Singosari Malang Jadi Korban Ledakan Dasyat, Diduga Racik Petasan",https://surabaya.tribunnews.com/malang-raya/1940352/6-anggota-keluarga-di-singosari-malang-jadi-korban-ledakan-dasyat-diduga-racik-petasan,"Selasa, 26 Mei 2026",1,https://surabaya.tribunnews.com/tag/kabupaten-malang,6 orangjadi korban luka dalam peristiwa ledakan dahsyat yang diduga berasal dari bahan petasan yang terjadi di sebuah rumah di Singosari Malang,https://asset.tribunnews.com/DJ7Sbexs7ipP5q1J5MSWpANs1FQ=/148x99/filters:quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/surabaya/foto/bank/originals/ledakan-petasan-di-SIngosari-Malang.jpg,2026-05-26 00:00:00.000000
Dua Maling Curi Jeruk Petani 53 Kilogran di Turen Malang,https://surabaya.tribunnews.com/jawa-timur/1939626/dua-maling-curi-jeruk-petani-53-kilogran-di-turen-malang,"Senin, 18 Mei 2026",1,https://surabaya.tribunnews.com/tag/kabupaten-malang,"Dua pelaku pencurian jeruk diamankan polisi di Kecamatan Turen, Kabupaten Malang. Salah satunya diketahui residivis.",https://asset.tribunnews.com/tbjQY4BzBVRB-yvECl5u7FUnI0g=/148x99/filters:quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/surabaya/foto/bank/originals/Dua-pelaku-curi-53-kilogram-jeruk-di-Kecamatan-Turen-Kabupaten-Malang.jpg,2026-05-18 00:00:00.000000
KRONOLOGI Pengendara Motor Tabrak Truk Tangki di Singosari Malang,https://surabaya.tribunnews.com/jawa-timur/1939349/kronologi-pengendara-motor-tabrak-truk-tangki-di-singosari-malang,"Jumat, 15 Mei 2026",1,https://surabaya.tribunnews.com/tag/kabupaten-malang,"Kecelakaan maut terjadi di Jalan Raya Randuagung, Kecamatan Singosari, Kabupaten Malang, Jawa Timur",https://asset.tribunnews.com/RgBzlyIMaMWQfJIU5gKwd72TJLo=/148x99/filters:quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/surabaya/foto/bank/originals/pengendara-sepeda-motor-meninggal-dunia-usai-menabrak-truk-parkir.jpg,2026-05-15 00:00:00.000000
"PLN UIT JBM Perkuat Layanan Listrik Industri, Kunjungi Perusahaan di Malang",https://surabaya.tribunnews.com/bisnis/1938995/pln-uit-jbm-perkuat-layanan-listrik-industri-kunjungi-perusahaan-di-malang,"Senin, 11 Mei 2026",1,https://surabaya.tribunnews.com/tag/kabupaten-malang,PLN UIT JBM memperkuat layanan listrik industri di Malang Jatim lewat dialog pelanggan KTT dan evaluasi keandalan pasokan.,https://asset.tribunnews.com/DYbE4hGIHPeYJvuNggUhsuaUplc=/148x99/filters:quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/surabaya/foto/bank/originals/PLN-UIT-JBM-Gelar-Kunjungan-ke-Pelanggan-KTT.jpg,2026-05-11 00:00:00.000000
"Nasib Para Tersangka dan Korban Insiden Pengeroyokan di Malang, yang Positif Narkoba Direhabilitasi",https://surabaya.tribunnews.com/malang-raya/1938810/nasib-para-tersangka-dan-korban-insiden-pengeroyokan-di-malang-yang-positif-narkoba-direhabilitasi,"Jumat, 8 Mei 2026",1,https://surabaya.tribunnews.com/tag/kabupaten-malang,"Kasus Pantai Wedi Awu Malang memanas. Empat tersangka penyerangan ditangkap, sementara 31 wisatawan positif narkoba direhabilitasi.",https://asset.tribunnews.com/al_S2jlu6u3wtZwdsEq_61hGPGQ=/148x99/filters:quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/surabaya/foto/bank/originals/ilustrasi-pengeroyokan-pesilat-2452024.jpg,2026-05-08 00:00:00.000000
Daftar 4 Tersangka dalam Insiden Penyerangan di Pantai Wedi Awu Malang Termasuk 1 Provokator,https://surabaya.tribunnews.com/malang-raya/1938792/daftar-4-tersangka-dalam-insiden-penyerangan-di-pantai-wedi-awu-malang-termasuk-1-provokator,"Jumat, 8 Mei 2026",1,https://surabaya.tribunnews.com/tag/kabupaten-malang,"Polres Malang mengumumkan penetapan tersangka terkait kasus pengeroyokan, perusakan, serta penghasutan di Pantai Wediawu Malang",https://asset.tribunnews.com/Db_CGax7a8TkFwXKqMlawxGb_44=/148x99/filters:quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/surabaya/foto/bank/originals/kapolres-Malang-penetapan-tersangka.jpg,2026-05-08 00:00:00.000000
"Perizinan Tak Lengkap, Penginapan di Pantai Wediawu Malang Dilarang Beraktivitas",https://surabaya.tribunnews.com/jawa-timur/1938651/perizinan-tak-lengkap-penginapan-di-pantai-wediawu-malang-dilarang-beraktivitas,"Kamis, 7 Mei 2026",1,https://surabaya.tribunnews.com/tag/kabupaten-malang,"Penginapan di Pantai Wediawu, Kabupaten Malang, lokasi pengeroyokan kendaraan wisatawan Surabaya, diduga belum lengkapi izin operasional",https://asset.tribunnews.com/txROVkSkp0x_StLAlSkiRscTn9w=/148x99/filters:quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/surabaya/foto/bank/originals/rombongan-wisatawan-asal-Surabaya-untuk-berlibur-diduga-perizinannya-belum-lengkap.jpg,2026-05-07 00:00:00.000000
