title,url,published_date,relative_date,date_source,page_num,list_page_url,source_category,excerpt,image_url,published_dt
"OJK: Aset Perbankan di Kabupaten Malang Tembus Rp36,3 Triliun",https://timesindonesia.co.id/ekonomi/596952/ojk-aset-perbankan-di-kabupaten-malang-tembus-rp363-triliun,2026-07-01,13 jam yang lalu,relative_text,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Ekonomi,"Otoritas Jasa Keuangan (OJK) Malang mencatat aset perbankan di wilayah tersebut telah mencapai Rp36,3 triliun",https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/06/30/ojk-aset-perbankan-di-kabupaten-malang-tembus-rp363-triliun-jyjasu9h.webp,2026-07-01
6.300 Anak di Kabupaten Malang Belum Pernah Mengenyam Pendidikan,https://timesindonesia.co.id/pendidikan/596949/6300-anak-di-kabupaten-malang-belum-pernah-mengenyam-pendidikan,2026-07-01,14 jam yang lalu,relative_text,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Pendidikan,Bupati Malang HM Sanusi mengungkapkan masih ada ribuan anak di Kabupaten Malang yang sama sekali belum pernah mengenyam pendidikan.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/06/30/6300-anak-di-kabupaten-malang-belum-pernah-mengenyam-pendidikan-scke5lby.webp,2026-07-01
Bupati: Masih Ada 31 ribu Anak Tidak Sekolah di Kabupaten Malang,https://timesindonesia.co.id/pendidikan/596947/bupati-masih-ada-31-ribu-anak-tidak-sekolah-di-kabupaten-malang,2026-07-01,15 jam yang lalu,relative_text,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Pendidikan,Bupati Malang HM Sanusi mengungkapkan masih tingginya jumlah Anak Tidak Sekolah (ATS) di Kabupaten Malang.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/06/30/bupati-masih-ada-31-ribu-anak-tidak-sekolah-di-kabupaten-malang-snoyiihk.webp,2026-07-01
DPRD Kabupaten Malang Dorong Penyelesaian Sengketa Lahan Kalibakar dan Ringinkembar,https://timesindonesia.co.id/politik/596762/dprd-kabupaten-malang-dorong-penyelesaian-sengketa-lahan-kalibakar-dan-ringinkembar,2026-06-30,2 hari yang lalu,relative_text,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Politik,Komisi I DPRD Kabupaten Malang berkoordinasi dengan Kementerian ATR/BPN untuk mempercepat penyelesaian sengketa lahan di Kalibakar dan Ringinkembar serta memberikan kepastian hukum bagi masyarakat.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/06/29/soal-lahan-kalibakar-dan-ringinkembar-komisi-i-dprd-audiensi-denga-atrbpn-cdindrmo.webp,2026-06-30
"Setelah Tahap Pemenuhan Pagu, Seluruh Kuota SMAN di Kabupaten Malang Terpenuhi",https://timesindonesia.co.id/pemerintahan/596799/setelah-tahap-pemenuhan-pagu-seluruh-kuota-sman-di-kabupaten-malang-terpenuhi,2026-06-30,2 hari yang lalu,relative_text,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Pemerintahan,Seluruh kuota SPMB SMA Negeri di Kabupaten Malang tahun ajaran 2026 akhirnya terpenuhi setelah Dinas Pendidikan Jawa Timur membuka tahap pemenuhan pagu bagi calon murid yang belum diterima.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/06/29/isi-sebaran-pagu-murid-baru-sman-tak-terpenuhi-dindik-buka-pemenuhan-kuota-7q9fnywu.webp,2026-06-30
Dispendik Kabupaten Malang Ingatkan Sekolah Tak Gunakan Dana BOS untuk Gaji PTT yang Lewati Batas Usia Pensiun,https://timesindonesia.co.id/pendidikan/596671/dispendik-kabupaten-malang-ingatkan-sekolah-tak-gunakan-dana-bos-untuk-gaji-ptt-yang-lewati-batas-usia-pensiun,2026-06-30,2 hari yang lalu,relative_text,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Pendidikan,Dinas Pendidikan Kabupaten Malang mengingatkan seluruh satuan pendidikan agar lebih cermat dalam mengelola dana Bantuan Operasional Sekolah (BOS).,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/06/29/dispendik-kabupaten-malang-ingatkan-sekolah-tak-gunakan-dana-bos-untuk-gaji-ptt--rpzp9cls.webp,2026-06-30
BPN Kabupaten Malang Targetkan Redistribusi 1.500 Bidang Tanah pada 2026,https://timesindonesia.co.id/pemerintahan/596311/bpn-kabupaten-malang-targetkan-redistribusi-1500-bidang-tanah-pada-2026,2026-06-27,5 hari yang lalu,relative_text,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Pemerintahan,Kantor Pertanahan Kabupaten Malang menargetkan sebanyak 1.500 bidang tanah akan dibagikan kepada masyarakat melalui program reforma agraria yang tersebar di tujuh desa pada tiga kecamatan.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/06/26/bpn-kabupaten-malang-targetkan-redistribusi-1500-bidang-tanah-pada-2026-1szllzh6.webp,2026-06-27
"Konfercab Perdana HMI Kabupaten Malang, Fahmi Aziz Terpilih Jadi Ketua",https://timesindonesia.co.id/indonesia-positif/596292/konfercab-perdana-hmi-kabupaten-malang-fahmi-aziz-terpilih-jadi-ketua,2026-06-27,5 hari yang lalu,relative_text,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Indonesia Positif,Kami akan berikhtiar membangun HMI Cabang Kabupaten Malang dengan kekuatan kolektif serta menjadikan tradisi intelektual sebagai pijakan utama dalam setiap gerak organisasi.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/06/26/konfercab-perdana-hmi-kabupaten-malang-fahmi-aziz-terpilih-jadi-ketua-5zqivuvy.webp,2026-06-27
Pesantren Dinilai Jadi Investasi Strategis Cetak Pemimpin Masa Depan di Kabupaten Malang,https://timesindonesia.co.id/pendidikan/596218/pesantren-dinilai-jadi-investasi-strategis-cetak-pemimpin-masa-depan-di-kabupaten-malang,2026-06-26,6 hari yang lalu,relative_text,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Pendidikan,Keberadaan pesantren dinilai tetap menjadi salah satu pilar penting dalam menyiapkan sumber daya manusia yang unggul dan berintegritas.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/06/25/pesantren-dinilai-jadi-investasi-strategis-cetak-pemimpin-masa-depan-di-kabupate-qnwxm6df.webp,2026-06-26
Sekda Ajak Warga Kabupaten Malang Ikut Awasi Peredaran Rokok Ilegal,https://timesindonesia.co.id/ekonomi/596174/sekda-ajak-warga-kabupaten-malang-ikut-awasi-peredaran-rokok-ilegal,2026-06-26,6 hari yang lalu,relative_text,1,/Users/tsar/Library/Mobile Documents/com~apple~CloudDocs/main/college/pkl/project/html_samples/times_indonesia_fulll.html,Ekonomi,Masyarakat Kabupaten Malang diminta menjadi bagian dalam upaya pemberantasan rokok ilegal.,https://cdn2.timesmedia.co.id/cdn-times/uploads/news-thumbnail/2026/06/25/sekda-ajak-warga-kabupaten-malang-ikut-awasi-peredaran-rokok-ilegal-tacjcmvx.webp,2026-06-26
